weeks,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
18,1962,0.674,0.473,2,-7.193,1,0.0362,0.0705,4.79E-05,0.0593,0.847,125.046,150867
18,1962,0.306,0.121,0,-15.551,0,0.0554,0.85,0.000176,0.257,0.166,174.053,206507
18,1962,0.373,0.858,9,-9.875,1,0.0712,0.00595,1.11E-05,0.312,0.816,186.179,224716
18,1962,0.822,0.544,8,-7.783,1,0.159,0.0183,0.00277,0.123,0.333,150.02,154360
18,1962,0.582,0.641,9,-7.621,1,0.0297,0.237,0,0.132,0.86,148.634,177267
18,1962,0.635,0.537,7,-7.895,0,0.0832,0.172,0,0.418,0.383,125.028,215381
18,1962,0.59,0.546,7,-10.213,1,0.0436,0.301,0,0.0936,0.855,114.04,168640
17,1962,0.24,0.116,0,-13.216,1,0.0329,0.877,0.00092,0.1,0.0937,77.349,188324
17,1962,0.472,0.0118,2,-31.734,1,0.0397,0.783,0.799,0.247,0.0698,102.949,73430
17,1962,0.691,0.795,1,-4.021,0,0.0355,0.000812,1.02E-06,0.156,0.876,133.971,227333
17,1962,0.745,0.894,8,-4.811,1,0.0376,0.154,0.000646,0.0753,0.971,87.498,148520
17,1962,,,,,,,,,,,,
17,1962,0.471,0.458,0,-10.122,1,0.0285,0.702,0.552,0.326,0.528,94.183,116733
17,1962,0.604,0.406,0,-12.874,1,0.0304,0.587,0.0149,0.105,0.419,92.542,284987
17,1962,,,,,,,,,,,,
16,1962,0.939,0.23,5,-13.924,1,0.137,0.255,0,0.0574,0.549,99.941,124960
16,1962,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74E-06,0.0414,0.937,124.631,155227
16,1962,0.537,0.788,11,-5.557,1,0.0362,0.0892,1.27E-06,0.164,0.727,161.991,273480
16,1962,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,254173
